rssi_dbm,snr_db,distance_m,source
-119,-5.20,4926.64,salvora_gw3
-114,4.80,2523.55,salvora_gw2
-117,-4.80,862.01,salvora_gw1
-89,11.80,2518.02,salvora_gw2
-117,-5.50,858.24,salvora_gw1
-81,7.20,2517.14,salvora_gw2
-120,-17.80,4754.63,salvora_gw3
-87,8.20,2515.35,salvora_gw2
-120,-9.00,934.48,salvora_gw1
-108,8.00,2453.99,salvora_gw2
-117,-1.20,4762.81,salvora_gw3
-117,-1.20,1099.58,salvora_gw1
-105,5.00,2299.09,salvora_gw2
-115,0.00,4704.7,salvora_gw3
-117,-3.80,1097.68,salvora_gw1
-108,5.00,2294.77,salvora_gw2
-111,3.80,4685.7,salvora_gw3
-104,8.50,2272.7,salvora_gw2
-115,-0.80,1094.81,salvora_gw1
-90,13.00,2271.26,salvora_gw2
-114,2.00,4546.47,salvora_gw3
-115,0.20,1090.34,salvora_gw1
-93,13.80,2275.37,salvora_gw2
-110,5.80,4543.22,salvora_gw3
-115,0.20,1086.89,salvora_gw1
-85,5.80,2278.68,salvora_gw2
-114,1.50,4495.87,salvora_gw3
-103,5.50,1147.44,salvora_gw1
-84,7.50,2223.95,salvora_gw2
-107,5.50,4406.47,salvora_gw3
-91,11.20,1188.47,salvora_gw1
-100,12.20,2194.62,salvora_gw2
-118,-2.00,4331.77,salvora_gw3
-91,11.80,1300.38,salvora_gw1
-115,0.20,2115.07,salvora_gw2
-117,-4.00,4182.73,salvora_gw3
-95,13.00,1209.62,salvora_gw1
-117,1.00,2198.35,salvora_gw2
-119,-5.00,4256.61,salvora_gw3
-85,7.80,1235.4,salvora_gw1
-117,0.00,2217.76,salvora_gw2
-105,5.50,4170.41,salvora_gw3
-104,7.20,1211.06,salvora_gw1
-113,3.20,2239.65,salvora_gw2
-111,4.20,4190.52,salvora_gw3
-98,11.50,1130.6,salvora_gw1
-115,2.20,2300.25,salvora_gw2
-117,-1.50,4273.07,salvora_gw3
-89,7.50,955.12,salvora_gw1
-103,5.20,2429.92,salvora_gw2
-115,-2.50,4480.12,salvora_gw3
-103,5.50,965.36,salvora_gw1
-114,1.20,2416.48,salvora_gw2
-117,-2.20,4482.27,salvora_gw3
-97,11.00,955.11,salvora_gw1
-107,8.80,2429.03,salvora_gw2
-104,10.00,4482.59,salvora_gw3
-95,14.80,930.58,salvora_gw1
-111,7.50,2478.46,salvora_gw2
-109,8.00,4448.61,salvora_gw3
-100,12.20,869.69,salvora_gw1
-98,13.00,2536.51,salvora_gw2
-114,2.80,4497.6,salvora_gw3
-95,5.00,857.81,salvora_gw1
-109,3.00,2555.89,salvora_gw2
-105,4.80,4495.38,salvora_gw3
-99,5.50,715.33,salvora_gw1
-113,-1.20,2731.15,salvora_gw2
-102,5.00,4574.25,salvora_gw3
-95,11.00,694.98,salvora_gw1
-109,5.80,2743.86,salvora_gw2
-118,-7.20,4596.74,salvora_gw3
-90,8.20,691.79,salvora_gw1
-112,3.20,2746.25,salvora_gw2
-114,1.80,4599.98,salvora_gw3
-85,8.80,652.14,salvora_gw1
-112,2.80,2795.79,salvora_gw2
-104,7.50,4626.14,salvora_gw3
-94,10.50,628.31,salvora_gw1
-114,2.00,2791.93,salvora_gw2
-105,8.50,4666.86,salvora_gw3
-101,5.00,552.31,salvora_gw1
-100,7.00,2854.67,salvora_gw2
-95,7.50,4741.42,salvora_gw3
-95,7.50,566.81,salvora_gw1
-104,5.00,2819.58,salvora_gw2
-115,-1.80,4757.93,salvora_gw3
-111,2.80,500.13,salvora_gw1
-107,5.00,2870.36,salvora_gw2
-97,7.00,4847.7,salvora_gw3
-111,3.80,480.24,salvora_gw1
-101,5.80,2885.32,salvora_gw2
-100,5.80,4892.61,salvora_gw3
-115,0.00,474.56,salvora_gw1
-109,5.80,2891.19,salvora_gw2
-107,9.20,4894.29,salvora_gw3
-99,5.00,509.42,salvora_gw1
-97,7.20,2859.81,salvora_gw2
-98,7.00,4846.37,salvora_gw3
-107,5.00,424.23,salvora_gw1
-107,5.20,2941.17,salvora_gw2
-105,5.20,4959.21,salvora_gw3
-93,13.80,411.88,salvora_gw1
-115,2.50,2956.34,salvora_gw2
-109,8.20,4921.61,salvora_gw3
-90,14.00,337.62,salvora_gw1
-97,13.20,3031.34,salvora_gw2
-107,9.00,4973.17,salvora_gw3
-89,15.20,307.83,salvora_gw1
-119,-2.80,3061.8,salvora_gw2
-115,3.00,4993.18,salvora_gw3
-89,14.00,293.26,salvora_gw1
-113,5.20,3071.75,salvora_gw2
-115,1.00,5038.55,salvora_gw3
-113,0.50,284.09,salvora_gw1
-108,3.50,3081.11,salvora_gw2
-117,-3.80,5050.53,salvora_gw3
-105,5.50,320.39,salvora_gw1
-118,-5.00,3046.02,salvora_gw2
-104,5.00,5039.32,salvora_gw3
-89,12.20,287.25,salvora_gw1
-115,1.80,5078.85,salvora_gw3
-95,12.50,389.44,salvora_gw1
-114,4.20,3003.41,salvora_gw2
-97,12.80,4889.21,salvora_gw3
-98,12.00,337.91,salvora_gw1
-115,2.00,3072.52,salvora_gw2
-102,11.20,4919.72,salvora_gw3
-90,13.80,345.5,salvora_gw1
-115,-0.50,3096.07,salvora_gw2
-100,12.20,4902.38,salvora_gw3
-100,5.80,364.73,salvora_gw1
-121,-13.20,3087.87,salvora_gw2
-117,-1.50,4882.28,salvora_gw3
-92,8.50,312.13,salvora_gw1
-120,-9.50,3161.77,salvora_gw2
-118,-3.50,4934.16,salvora_gw3
-90,7.80,315.96,salvora_gw1
-120,-8.20,3152.35,salvora_gw2
-117,-1.50,4929.83,salvora_gw3
-89,13.20,321.11,salvora_gw1
-120,-9.80,3152.8,salvora_gw2
-120,-9.50,4924.92,salvora_gw3
-98,5.50,321.77,salvora_gw1
-119,-11.00,3153.06,salvora_gw2
-115,1.20,4924.31,salvora_gw3
-101,5.20,319.83,salvora_gw1
-119,-10.00,3138.5,salvora_gw2
-113,2.50,4925.72,salvora_gw3
-98,5.20,288.88,salvora_gw1
-113,1.50,4956.89,salvora_gw3
-97,7.80,242.13,salvora_gw1
-101,7.20,3234.61,salvora_gw2
-99,7.00,5009.14,salvora_gw3
-91,9.20,208.95,salvora_gw1
-114,2.00,3288.67,salvora_gw2
-118,-4.00,5054.52,salvora_gw3
-91,9.20,213.18,salvora_gw1
-120,-8.20,3309.07,salvora_gw2
-107,5.20,5061.21,salvora_gw3
-88,8.50,211.91,salvora_gw1
-110,2.80,3369.51,salvora_gw2
-101,5.00,5100.49,salvora_gw3
-90,7.80,1143.12,salvora_gw1
-118,-8.00,6147.63,salvora_gw3
-112,3.00,1308.2,salvora_gw1
-120,-15.50,6334.2,salvora_gw3
-107,5.50,1410.1,salvora_gw1
-115,-0.20,1590.18,salvora_gw1
-103,5.20,1356.17,salvora_gw1
-84,10.80,1264.5,salvora_gw1
-95,7.00,1329.39,salvora_gw1
-105,5.80,1348.78,salvora_gw1
-117,-2.50,4500.58,salvora_gw2
-108,7.00,1348.8,salvora_gw1
-99,4.50,983.45,salvora_gw1
-107,4.20,3269.56,salvora_gw2
-119,-14.20,5792.95,salvora_gw3
-110,5.20,980.22,salvora_gw1
-111,4.00,3247.98,salvora_gw2
-119,-12.80,5773.94,salvora_gw3
-114,3.20,955.03,salvora_gw1
-112,5.00,3251.69,salvora_gw2
-119,-11.80,5762.37,salvora_gw3
-115,1.00,960.12,salvora_gw1
-113,2.20,3247.88,salvora_gw2
-120,-12.50,5762.26,salvora_gw3
-108,4.80,966.13,salvora_gw1
-109,4.50,3248.34,salvora_gw2
-118,-12.00,930.25,salvora_gw1
-53,14.20,1137.92,salvora_gw1
-108,8.00,4486.64,salvora_gw2
-119,-13.50,6237.6,salvora_gw3
-55,15.00,1144.36,salvora_gw1
-117,1.20,4486.64,salvora_gw2
-115,1.80,6260.83,salvora_gw3
-58,10.00,1152.15,salvora_gw1
-115,2.50,4482.17,salvora_gw2
-59,14.50,1166.07,salvora_gw1
-118,-3.00,4487.24,salvora_gw2
-114,2.20,6320.18,salvora_gw3
-71,11.00,1171.49,salvora_gw1
-112,-0.80,4489.06,salvora_gw2
-111,-14.00,6330.26,salvora_gw3
-78,9.80,1205.69,salvora_gw1
-117,-3.50,6367.95,salvora_gw3
-78,11.80,1242.13,salvora_gw1
-120,-8.50,4548.11,salvora_gw2
-120,-8.80,6409.07,salvora_gw3
-79,14.20,1259.53,salvora_gw1
-119,-5.80,6424.45,salvora_gw3
-78,14.00,1330.84,salvora_gw1
-118,-1.50,6493.89,salvora_gw3
-80,7.20,1379.47,salvora_gw1
-115,0.20,4682.25,salvora_gw2
-117,-4.00,6537.7,salvora_gw3
-81,10.80,1426.09,salvora_gw1
-114,-0.80,4734.37,salvora_gw2
-119,-15.00,6572.8,salvora_gw3
-82,12.80,1434.13,salvora_gw1
-115,0.00,4741.94,salvora_gw2
-81,12.20,1431.82,salvora_gw1
-118,-1.00,4740.94,salvora_gw2
-120,-11.00,6576.81,salvora_gw3
-85,10.80,1551.72,salvora_gw1
-111,5.80,4862.17,salvora_gw2
-79,13.80,1566.16,salvora_gw1
-114,3.20,4886.02,salvora_gw2
-81,5.80,1585.87,salvora_gw1
-115,-0.80,4915.81,salvora_gw2
-85,9.20,1592.23,salvora_gw1
-118,-5.80,4929.08,salvora_gw2
-81,12.20,1592.65,salvora_gw1
-115,1.20,4929.21,salvora_gw2
-119,-12.80,6669.11,salvora_gw3
-95,12.20,1580.37,salvora_gw1
-119,-5.80,4926.36,salvora_gw2
-109,7.20,6630.82,salvora_gw3
-74,15.00,1392.41,salvora_gw1
-111,5.50,6434.48,salvora_gw3
-92,12.80,1327.38,salvora_gw1
-109,4.80,6362.7,salvora_gw3
-87,8.00,1282.01,salvora_gw1
-114,-1.20,6326.1,salvora_gw3
-59,11.00,1238.51,salvora_gw1
-119,-5.20,4591.8,salvora_gw2
-120,-13.00,6308,salvora_gw3
-72,14.00,1200.44,salvora_gw1
-119,-3.00,4550.41,salvora_gw2
-119,-10.80,6287.37,salvora_gw3
-72,10.20,1155.69,salvora_gw1
-115,0.50,4504.54,salvora_gw2
-118,-13.80,6252.46,salvora_gw3
-85,14.00,1144.15,salvora_gw1
-111,5.50,4493.64,salvora_gw2
-118,-2.80,6240.52,salvora_gw3
-55,14.20,1135.1,salvora_gw1
-111,5.80,4485.7,salvora_gw2
-55,11.00,1139.33,salvora_gw1
-115,-2.20,4490.06,salvora_gw2
-55,8.80,1125.87,salvora_gw1
-118,-9.80,4476.68,salvora_gw2
-54,10.20,1131.68,salvora_gw1
-113,3.80,4484.57,salvora_gw2
-109,5.80,6218.21,salvora_gw3
-54,13.20,1104.87,salvora_gw1
-103,12.50,4458.51,salvora_gw2
-99,14.00,6192.49,salvora_gw3
-52,15.80,1107.84,salvora_gw1
-107,9.80,4461.6,salvora_gw2
-101,13.00,6194.6,salvora_gw3
-55,13.20,1108.34,salvora_gw1
-112,5.50,4464.2,salvora_gw2
-100,12.20,6186.4,salvora_gw3
-58,7.20,1110.76,salvora_gw1
-111,3.50,4467.27,salvora_gw2
-98,7.50,6185.57,salvora_gw3
-55,11.50,1110.42,salvora_gw1
-120,-8.50,4467.25,salvora_gw2
-109,5.50,6183.81,salvora_gw3
-53,12.80,1102.18,salvora_gw1
-107,8.20,4458.32,salvora_gw2
-105,8.50,6179.97,salvora_gw3
-55,14.20,1104.32,salvora_gw1
-120,-9.00,4460.56,salvora_gw2
-109,8.00,6181.37,salvora_gw3
-53,15.00,1108.75,salvora_gw1
-115,3.20,4465.67,salvora_gw2
-98,14.50,6181.94,salvora_gw3
-58,13.50,1108.63,salvora_gw1
-99,13.00,6183.95,salvora_gw3
-54,9.80,1109.59,salvora_gw1
-105,5.80,4466.45,salvora_gw2
-100,5.80,6182.96,salvora_gw3
-45,7.00,1126.17,salvora_gw1
-101,5.20,4479.68,salvora_gw2
-102,5.80,6211.16,salvora_gw3
-39,12.50,1108.67,salvora_gw1
-117,0.80,4461.68,salvora_gw2
-104,9.50,6198.15,salvora_gw3
-33,12.20,1128.28,salvora_gw1
-107,5.00,4481.15,salvora_gw2
-100,8.00,6215.34,salvora_gw3
-45,7.50,1112.5,salvora_gw1
-109,5.50,4466.05,salvora_gw2
-105,7.00,6199.35,salvora_gw3
-39,14.00,1111.65,salvora_gw1
-95,13.00,4465.12,salvora_gw2
-94,12.50,6198.93,salvora_gw3
-53,9.00,1111.65,salvora_gw1
-101,12.20,4465.21,salvora_gw2
-100,12.20,6198.6,salvora_gw3
-39,10.50,1126.16,salvora_gw1
-98,11.80,4479.13,salvora_gw2
-99,12.00,6213.18,salvora_gw3
-54,13.00,1108.3,salvora_gw1
-107,9.50,4462.71,salvora_gw2
-95,13.00,6192.44,salvora_gw3
-72,9.50,1109.08,salvora_gw1
-119,-11.50,4465.68,salvora_gw2
-105,5.00,6183.74,salvora_gw3
-58,10.50,1109.49,salvora_gw1
-120,-8.20,4465.95,salvora_gw2
-111,4.00,6184.71,salvora_gw3
-77,10.50,1108.69,salvora_gw1
-115,-10.00,4465.94,salvora_gw2
-105,8.50,6180.31,salvora_gw3
-93,14.00,1106.46,salvora_gw1
-118,-9.20,4463.85,salvora_gw2
-105,10.20,6177.75,salvora_gw3
-50,15.00,1110.43,salvora_gw1
-97,13.20,4469.37,salvora_gw2
-105,10.80,6173,salvora_gw3
-51,11.00,1152.59,salvora_gw1
-90,11.80,4512.81,salvora_gw2
-107,8.20,6200.63,salvora_gw3
-58,12.20,1154.99,salvora_gw1
-109,3.50,4515.22,salvora_gw2
-97,8.20,6202.56,salvora_gw3
-85,10.00,1155.55,salvora_gw1
-112,4.00,4516.24,salvora_gw2
-107,5.50,6199.95,salvora_gw3
-58,13.50,1104.4,salvora_gw1
-97,10.20,4468.76,salvora_gw2
-112,5.20,6119.77,salvora_gw3
-51,8.50,171.38,salvora_gw1
-91,11.80,3340.14,salvora_gw2
-108,7.20,5109.25,salvora_gw3
-57,14.00,236.9,salvora_gw1
-92,14.80,3275.36,salvora_gw2
-108,8.80,5027.36,salvora_gw3
-75,13.00,222.09,salvora_gw1
-93,13.20,3217.5,salvora_gw2
-115,1.20,5023.88,salvora_gw3
-83,9.80,286.52,salvora_gw1
-100,5.20,3178.43,salvora_gw2
-107,4.50,4959.76,salvora_gw3
-83,10.50,382.44,salvora_gw1
-89,8.80,3232.48,salvora_gw2
-104,5.80,4896.28,salvora_gw3
-78,10.00,378.27,salvora_gw1
-92,10.80,3234.02,salvora_gw2
-99,9.00,4900.2,salvora_gw3
-85,12.20,379.88,salvora_gw1
-89,12.00,3233.09,salvora_gw2
-105,9.80,4898.54,salvora_gw3
-85,14.00,380.67,salvora_gw1
-88,13.80,3232.38,salvora_gw2
-107,10.00,4897.62,salvora_gw3
-89,13.50,381.33,salvora_gw1
-105,9.50,4897.2,salvora_gw3
-83,8.00,407.07,salvora_gw1
-100,5.50,3274.99,salvora_gw2
-109,4.50,4898.61,salvora_gw3
-95,5.20,494.06,salvora_gw1
-99,5.20,3195.76,salvora_gw2
-104,5.50,4792.82,salvora_gw3
-85,12.50,565.11,salvora_gw1
-95,11.50,3081.88,salvora_gw2
-105,8.50,4694.74,salvora_gw3
-82,11.80,640.55,salvora_gw1
-93,11.80,2962.69,salvora_gw2
-105,9.20,4606.15,salvora_gw3
-81,11.50,719.95,salvora_gw1
-91,11.50,2830.98,salvora_gw2
-99,11.00,4529.61,salvora_gw3
-81,13.50,710.17,salvora_gw1
-91,13.50,2812.21,salvora_gw2
-111,5.50,4544.47,salvora_gw3
-80,9.50,889.47,salvora_gw1
-88,8.80,2561.1,salvora_gw2
-102,7.00,4430.54,salvora_gw3
-95,7.50,891.7,salvora_gw1
-97,8.20,2550.2,salvora_gw2
-93,7.80,4436.92,salvora_gw3
-99,10.50,883.65,salvora_gw1
-105,7.00,2556.67,salvora_gw2
-93,10.20,4444.71,salvora_gw3
-95,12.50,849.42,salvora_gw1
-103,10.80,2586.05,salvora_gw2
-100,11.00,4476.19,salvora_gw3
-97,13.80,692.76,salvora_gw1
-100,13.00,2727.41,salvora_gw2
-100,12.80,4615.08,salvora_gw3
-90,13.00,560.65,salvora_gw1
-98,13.00,2892.97,salvora_gw2
-99,13.20,4702.14,salvora_gw3
-89,8.50,413.23,salvora_gw1
-102,5.20,3033.21,salvora_gw2
-99,5.50,4837.85,salvora_gw3
-75,9.50,252.87,salvora_gw1
-95,7.00,3199.2,salvora_gw2
-103,7.00,4993.29,salvora_gw3
-74,13.20,180.4,salvora_gw1
-102,10.20,3279.45,salvora_gw2
-98,11.80,5073.17,salvora_gw3
-55,12.50,145.96,salvora_gw1
-101,12.50,3327.47,salvora_gw2
-104,10.80,5120.22,salvora_gw3
-77,10.00,1160.65,salvora_gw1
-100,11.20,6185.74,salvora_gw3
-75,13.50,1160.38,salvora_gw1
-109,5.80,4523.36,salvora_gw2
-97,12.80,6184.62,salvora_gw3
-75,12.50,1160.64,salvora_gw1
-110,5.50,4523.53,salvora_gw2
-98,7.00,6185.79,salvora_gw3
-58,11.50,1158.99,salvora_gw1
-110,5.20,4521.91,salvora_gw2
-99,5.80,6184.04,salvora_gw3
-57,13.20,1162.37,salvora_gw1
-110,7.20,4525.28,salvora_gw2
-95,11.00,6187.04,salvora_gw3
-59,10.00,1223.12,salvora_gw1
-110,4.20,4584.17,salvora_gw2
-100,9.50,6253.92,salvora_gw3
-90,12.00,1317.45,salvora_gw1
-99,11.20,6346.58,salvora_gw3
-89,13.00,1409.41,salvora_gw1
-102,12.20,6446.19,salvora_gw3
-102,5.50,6585.48,salvora_gw3
-75,11.00,1575.46,salvora_gw1
-119,-8.50,4927.88,salvora_gw2
-112,3.80,6602.16,salvora_gw3
-79,10.50,1535.91,salvora_gw1
-118,-10.50,4892.28,salvora_gw2
-107,7.00,6548.99,salvora_gw3
-85,12.20,1360.81,salvora_gw1
-115,1.00,4721.58,salvora_gw2
-107,8.50,6371.86,salvora_gw3
-79,14.20,1281.89,salvora_gw1
-97,13.20,4644.99,salvora_gw2
-105,10.80,6284.19,salvora_gw3
-80,13.50,1203.61,salvora_gw1
-92,13.20,4566.4,salvora_gw2
-109,7.80,6222.43,salvora_gw3
-85,9.20,1197.76,salvora_gw1
-91,9.00,4560.62,salvora_gw2
-113,1.80,6216.84,salvora_gw3
-72,7.50,1270,salvora_gw1
-95,8.50,4634.94,salvora_gw2
-97,7.00,6237.01,salvora_gw3
-81,13.00,1274.61,salvora_gw1
-92,12.00,4639.56,salvora_gw2
-104,10.80,6239.68,salvora_gw3
-84,12.50,1271,salvora_gw1
-97,11.50,4634.2,salvora_gw2
-108,8.80,6273.97,salvora_gw3
-74,10.50,1252.88,salvora_gw1
-90,12.00,4615.94,salvora_gw2
-97,11.80,6260.52,salvora_gw3
-73,13.80,1253.04,salvora_gw1
-89,13.50,4615.94,salvora_gw2
-95,13.00,6262.49,salvora_gw3
-74,12.00,1242.27,salvora_gw1
-105,4.80,4600.42,salvora_gw2
-103,5.00,6288.61,salvora_gw3
-57,5.80,1206.53,salvora_gw1
-111,4.80,4563.5,salvora_gw2
-104,5.50,6264.48,salvora_gw3
-52,12.50,1191.85,salvora_gw1
-105,10.00,4548.07,salvora_gw2
-101,12.20,6255.61,salvora_gw3
-55,12.20,1188.85,salvora_gw1
-115,1.20,4544.98,salvora_gw2
-114,2.80,6253.48,salvora_gw3
-80,14.00,1192.7,salvora_gw1
-115,3.00,6256.35,salvora_gw3
-89,13.50,1194.08,salvora_gw1
-111,5.80,6257.72,salvora_gw3
-78,10.20,1192.25,salvora_gw1
-115,-0.80,6256.35,salvora_gw3
-79,9.00,1186.65,salvora_gw1
-119,-18.00,4542.45,salvora_gw2
-117,-4.00,6253.12,salvora_gw3
-75,13.50,1187.07,salvora_gw1
-105,9.20,6253.49,salvora_gw3
-81,12.20,1188.74,salvora_gw1
-103,11.80,6255.54,salvora_gw3
-73,13.80,1188.78,salvora_gw1
-115,0.50,4544.59,salvora_gw2
-114,2.50,6254.85,salvora_gw3
-89,14.20,1186.2,salvora_gw1
-55,11.80,1175.55,salvora_gw1
-122,-13.20,4531.81,salvora_gw2
-105,5.50,6241.6,salvora_gw3
-54,7.80,1163.5,salvora_gw1
-108,4.80,6234.4,salvora_gw3
-58,13.20,1149.45,salvora_gw1
-55,12.20,1132.04,salvora_gw1
-119,-3.50,4485.93,salvora_gw2
-107,9.00,6214.72,salvora_gw3
-57,10.50,1127.03,salvora_gw1
-100,11.80,4480.52,salvora_gw2
-101,11.20,6211.95,salvora_gw3
-35,13.20,1112.49,salvora_gw1
-102,11.50,4465.61,salvora_gw2
-112,5.50,6200.96,salvora_gw3
-37,8.80,1111.33,salvora_gw1
-114,1.80,4464.47,salvora_gw2
-111,2.80,6199.9,salvora_gw3
-35,10.50,1105.29,salvora_gw1
-113,-0.50,4458.89,salvora_gw2
-104,5.80,6193.02,salvora_gw3
-35,12.50,1111.64,salvora_gw1
-107,8.00,4464.72,salvora_gw2
-111,5.00,6200.42,salvora_gw3
-35,8.50,1112.07,salvora_gw1
-110,5.80,4465.06,salvora_gw2
-98,10.20,6201.07,salvora_gw3
-47,15.80,1102.44,salvora_gw1
-92,15.20,4455.23,salvora_gw2
-93,15.80,6193.6,salvora_gw3
-47,13.80,1081.53,salvora_gw1
-90,13.80,4434.56,salvora_gw2
-113,4.00,6174.91,salvora_gw3
-59,9.50,43.25,salvora_gw1
-99,7.00,3322.97,salvora_gw2
-118,-10.20,5208.08,salvora_gw3
-50,10.80,70.44,salvora_gw1
-115,0.50,3294.82,salvora_gw2
-115,1.80,5198.97,salvora_gw3
-50,13.20,87.21,salvora_gw1
-118,-1.80,3279.34,salvora_gw2
-117,-1.20,5194.95,salvora_gw3
-53,13.50,96.28,salvora_gw1
-119,-4.20,3273.35,salvora_gw2
-120,-15.50,5199.62,salvora_gw3
-81,15.00,112.63,salvora_gw1
-115,1.50,3260.6,salvora_gw2
-120,-9.80,5199.18,salvora_gw3
-104,9.20,117.1,salvora_gw1
-73,8.80,128.17,salvora_gw1
-115,0.80,3256.02,salvora_gw2
-120,-15.20,5213.06,salvora_gw3
-78,7.80,154.99,salvora_gw1
-119,-11.50,5209.65,salvora_gw3
-81,13.50,179.57,salvora_gw1
-120,-10.50,3221.08,salvora_gw2
-110,7.20,5215.08,salvora_gw3
-71,11.20,207.03,salvora_gw1
-115,0.00,5224.9,salvora_gw3
-75,14.20,207.32,salvora_gw1
-120,-7.80,3217.06,salvora_gw2
-111,7.50,5237.63,salvora_gw3
-101,12.00,223.17,salvora_gw1
-118,-2.80,3215.85,salvora_gw2
-101,5.80,237,salvora_gw1
-118,-10.20,3217.48,salvora_gw2
-92,10.50,248.95,salvora_gw1
-120,-8.20,3211.22,salvora_gw2
-105,9.80,245.84,salvora_gw1
-113,5.50,3210.28,salvora_gw2
-95,13.80,244.89,salvora_gw1
-110,5.80,3207.02,salvora_gw2
-95,13.80,244.31,salvora_gw1
-112,5.00,3207.88,salvora_gw2
-95,13.20,241.68,salvora_gw1
-110,5.80,3211.22,salvora_gw2
-94,5.80,244.74,salvora_gw1
-108,3.50,3207.54,salvora_gw2
-95,7.20,245.22,salvora_gw1
-108,5.80,3206.98,salvora_gw2
-95,10.00,246.13,salvora_gw1
-109,5.20,3206.08,salvora_gw2
-95,13.00,246.96,salvora_gw1
-111,5.20,3205.57,salvora_gw2
-94,13.50,247.32,salvora_gw1
-113,4.00,3205.93,salvora_gw2
-99,12.20,245.07,salvora_gw1
-119,-4.20,3208.18,salvora_gw2
-97,5.80,246.66,salvora_gw1
-119,-3.50,3206.01,salvora_gw2
-95,5.80,246.53,salvora_gw1
-113,2.80,3206.03,salvora_gw2
-95,11.20,246.65,salvora_gw1
-112,5.20,3205.22,salvora_gw2
-94,10.00,247.34,salvora_gw1
-111,4.80,3204.06,salvora_gw2
-95,15.00,247.44,salvora_gw1
-111,7.00,3204.34,salvora_gw2
-97,12.80,247.54,salvora_gw1
-112,5.50,3204.71,salvora_gw2
-95,8.80,247.8,salvora_gw1
-109,5.50,3204.68,salvora_gw2
-120,-20.50,5257.95,salvora_gw3
-95,7.20,244.67,salvora_gw1
-110,5.80,3207.55,salvora_gw2
-95,11.50,245.4,salvora_gw1
-112,5.00,3207.45,salvora_gw2
-94,10.00,245.95,salvora_gw1
-93,15.00,246.64,salvora_gw1
-111,5.50,3206.4,salvora_gw2
-95,12.80,247.04,salvora_gw1
-112,5.00,3206.35,salvora_gw2
-110,2.50,246.17,salvora_gw1
-111,3.00,3207.64,salvora_gw2
-99,8.50,245.97,salvora_gw1
-107,5.50,3207.66,salvora_gw2
-93,11.50,246.21,salvora_gw1
-108,8.50,3207.34,salvora_gw2
-95,12.20,247.01,salvora_gw1
-119,-1.20,3206.74,salvora_gw2
-93,14.00,247.26,salvora_gw1
-111,5.80,3205.94,salvora_gw2
-95,11.50,247.37,salvora_gw1
-115,0.20,3206.3,salvora_gw2
-95,8.50,246.6,salvora_gw1
-113,2.80,3207.29,salvora_gw2
-94,7.80,244.77,salvora_gw1
-112,2.80,3210.42,salvora_gw2
-95,11.50,245.91,salvora_gw1
-112,4.20,3210.03,salvora_gw2
-95,11.20,245.8,salvora_gw1
-112,3.00,3211.22,salvora_gw2
-98,14.00,245.36,salvora_gw1
-95,13.00,245.73,salvora_gw1
-110,5.20,3208.48,salvora_gw2
-98,5.80,243.95,salvora_gw1
-115,0.80,3210.92,salvora_gw2
-95,7.20,244.54,salvora_gw1
-118,-1.80,3210.99,salvora_gw2
-94,9.50,244.59,salvora_gw1
-117,-3.00,3211.38,salvora_gw2
-101,12.00,246.26,salvora_gw1
-115,1.50,3208.41,salvora_gw2
